pc_time,arduino_ms,can_id,data
14:45:11.792,61,1F9,20 00 16 C1 00 00 00 00
14:45:11.799,92,1F9,20 00 16 C1 00 00 00 00
14:45:11.804,111,1F9,20 00 16 A8 00 00 00 00
14:45:11.812,150,1F9,20 00 16 A8 00 00 00 00
14:45:11.817,172,1F9,20 00 16 A8 00 00 00 00
14:45:11.820,184,1F9,20 00 16 C1 00 00 00 00
14:45:11.806,119,354,00 00 00 00 00 00 04 00
14:45:11.815,160,354,00 00 00 00 00 08 04 00
14:45:11.831,240,354,00 00 00 00 00 18 04 00
14:45:11.839,278,354,00 00 00 00 00 00 04 00
14:45:11.858,360,354,00 00 00 00 00 10 04 00
14:45:11.886,480,354,00 00 00 00 00 08 04 00
14:45:11.822,199,625,02 00 FF 1D 20 00
14:45:11.844,300,625,02 00 FF 1D 20 00
14:45:11.867,400,625,02 00 FF 1D 20 00
14:45:11.891,498,625,02 00 FF 1D 20 00
14:45:11.914,599,625,02 00 FF 1D 20 00
14:45:12.013,698,625,02 00 FF 1D 20 00
